,hospital,city,canton_name,main_code,disease_group,number_of_cases_2014_2019
919,Privatklinik Bethanien,Zürich,Zürich,E,Diseases of the abdominal organs,2536
920,Privatklinik Bethanien,Zürich,Zürich,F,Vascular Diseases,590
921,Privatklinik Bethanien,Zürich,Zürich,G,Gynecology and obstetrics,14264
922,Privatklinik Bethanien,Zürich,Zürich,H,Diseases of the urinary tract and male genitalia,2409
923,Privatklinik Bethanien,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",4409
924,Privatklinik Bethanien,Zürich,Zürich,J,Complex conditions,146
925,Privatklinik Bethanien,Zürich,Zürich,K,Skin disorders,13
926,Privatklinik Bethanien,Zürich,Zürich,L,Highly specialized medicine,3
927,Privatklinik Lindberg,Winterthur,Zürich,A,Cardiac diseases,56
928,Privatklinik Lindberg,Winterthur,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",22
929,Privatklinik Lindberg,Winterthur,Zürich,C,Geriatric Medicine,21
930,Privatklinik Lindberg,Winterthur,Zürich,D,Lung diseases,105
931,Privatklinik Lindberg,Winterthur,Zürich,E,Diseases of the abdominal organs,1412
932,Privatklinik Lindberg,Winterthur,Zürich,F,Vascular Diseases,4
933,Privatklinik Lindberg,Winterthur,Zürich,G,Gynecology and obstetrics,2347
934,Privatklinik Lindberg,Winterthur,Zürich,H,Diseases of the urinary tract and male genitalia,698
935,Privatklinik Lindberg,Winterthur,Zürich,I,"Diseases of the bones, joints, connective tissues",3000
936,Privatklinik Lindberg,Winterthur,Zürich,J,Complex conditions,75
937,Privatklinik Lindberg,Winterthur,Zürich,K,Skin disorders,2
938,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,A,Cardiac diseases,743
939,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",409
940,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,C,Geriatric Medicine,95
941,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,D,Lung diseases,817
942,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,E,Diseases of the abdominal organs,167
943,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,F,Vascular Diseases,1
944,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,G,Gynecology and obstetrics,88
945,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,H,Diseases of the urinary tract and male genitalia,32
946,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,I,"Diseases of the bones, joints, connective tissues",460
947,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,J,Complex conditions,203
948,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,K,Skin disorders,5
949,Pôle santé du Pays-dEnhaut,Château-dOex,Vaud,M,Palliative Medicine,4
950,Regionalspital Emmental AG,Burgdorf,Bern,A,Cardiac diseases,8229
951,Regionalspital Emmental AG,Burgdorf,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3321
952,Regionalspital Emmental AG,Burgdorf,Bern,C,Geriatric Medicine,1146
953,Regionalspital Emmental AG,Burgdorf,Bern,D,Lung diseases,7644
954,Regionalspital Emmental AG,Burgdorf,Bern,E,Diseases of the abdominal organs,7268
955,Regionalspital Emmental AG,Burgdorf,Bern,F,Vascular Diseases,171
956,Regionalspital Emmental AG,Burgdorf,Bern,G,Gynecology and obstetrics,13128
957,Regionalspital Emmental AG,Burgdorf,Bern,H,Diseases of the urinary tract and male genitalia,3263
958,Regionalspital Emmental AG,Burgdorf,Bern,I,"Diseases of the bones, joints, connective tissues",6146
959,Regionalspital Emmental AG,Burgdorf,Bern,J,Complex conditions,6141
960,Regionalspital Emmental AG,Burgdorf,Bern,K,Skin disorders,45
961,Regionalspital Emmental AG,Burgdorf,Bern,M,Palliative Medicine,75
962,Regionalspital Surselva AG,Ilanz,Graubünden,A,Cardiac diseases,1392
963,Regionalspital Surselva AG,Ilanz,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",500
964,Regionalspital Surselva AG,Ilanz,Graubünden,C,Geriatric Medicine,82
965,Regionalspital Surselva AG,Ilanz,Graubünden,D,Lung diseases,1603
966,Regionalspital Surselva AG,Ilanz,Graubünden,E,Diseases of the abdominal organs,1333
967,Regionalspital Surselva AG,Ilanz,Graubünden,F,Vascular Diseases,27
968,Regionalspital Surselva AG,Ilanz,Graubünden,G,Gynecology and obstetrics,3249
969,Regionalspital Surselva AG,Ilanz,Graubünden,H,Diseases of the urinary tract and male genitalia,334
970,Regionalspital Surselva AG,Ilanz,Graubünden,I,"Diseases of the bones, joints, connective tissues",1672
971,Regionalspital Surselva AG,Ilanz,Graubünden,J,Complex conditions,365
972,Regionalspital Surselva AG,Ilanz,Graubünden,K,Skin disorders,14
973,Rosenklinik AG,Rapperswil-Jona,St. Gallen,C,Geriatric Medicine,1
974,Rosenklinik AG,Rapperswil-Jona,St. Gallen,E,Diseases of the abdominal organs,779
975,Rosenklinik AG,Rapperswil-Jona,St. Gallen,F,Vascular Diseases,2
976,Rosenklinik AG,Rapperswil-Jona,St. Gallen,G,Gynecology and obstetrics,3
977,Rosenklinik AG,Rapperswil-Jona,St. Gallen,H,Diseases of the urinary tract and male genitalia,57
978,Rosenklinik AG,Rapperswil-Jona,St. Gallen,I,"Diseases of the bones, joints, connective tissues",614
979,Rosenklinik AG,Rapperswil-Jona,St. Gallen,J,Complex conditions,13
980,Rosenklinik AG,Rapperswil-Jona,St. Gallen,K,Skin disorders,1
981,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,A,Cardiac diseases,519
982,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",188
983,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,C,Geriatric Medicine,19
984,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,D,Lung diseases,639
985,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,E,Diseases of the abdominal organs,160
986,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,G,Gynecology and obstetrics,210
987,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,H,Diseases of the urinary tract and male genitalia,24
988,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,I,"Diseases of the bones, joints, connective tissues",281
989,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,J,Complex conditions,70
990,Réseau Santé Balcon du Jura.vd (RSBJ),Ste-Croix,Vaud,K,Skin disorders,3
991,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,A,Cardiac diseases,16893
992,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",14339
993,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,C,Geriatric Medicine,3785
994,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,D,Lung diseases,13971
995,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,E,Diseases of the abdominal organs,10585
996,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,F,Vascular Diseases,2373
997,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,G,Gynecology and obstetrics,34713
998,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,H,Diseases of the urinary tract and male genitalia,4564
999,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,I,"Diseases of the bones, joints, connective tissues",7373
1000,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,J,Complex conditions,8799
1001,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,K,Skin disorders,172
1002,Réseau hospitalier neuchâtelois RHNe,La Chaux-de-Fonds,Neuchâtel,M,Palliative Medicine,510
1003,SMN,La Chaux-de-Fonds,Neuchâtel,A,Cardiac diseases,1763
1004,SMN,La Chaux-de-Fonds,Neuchâtel,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",214
1005,SMN,La Chaux-de-Fonds,Neuchâtel,C,Geriatric Medicine,150
1006,SMN,La Chaux-de-Fonds,Neuchâtel,D,Lung diseases,910
1007,SMN,La Chaux-de-Fonds,Neuchâtel,E,Diseases of the abdominal organs,11074
1008,SMN,La Chaux-de-Fonds,Neuchâtel,F,Vascular Diseases,481
1009,SMN,La Chaux-de-Fonds,Neuchâtel,G,Gynecology and obstetrics,31532
1010,SMN,La Chaux-de-Fonds,Neuchâtel,H,Diseases of the urinary tract and male genitalia,3323
1011,SMN,La Chaux-de-Fonds,Neuchâtel,I,"Diseases of the bones, joints, connective tissues",30798
1012,SMN,La Chaux-de-Fonds,Neuchâtel,J,Complex conditions,442
1013,SMN,La Chaux-de-Fonds,Neuchâtel,K,Skin disorders,82
1014,SMN,La Chaux-de-Fonds,Neuchâtel,M,Palliative Medicine,4
1015,SRO AG,Langenthal,Bern,A,Cardiac diseases,7281
1016,SRO AG,Langenthal,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3640
1017,SRO AG,Langenthal,Bern,C,Geriatric Medicine,716
1018,SRO AG,Langenthal,Bern,D,Lung diseases,5435
1019,SRO AG,Langenthal,Bern,E,Diseases of the abdominal organs,5914
1020,SRO AG,Langenthal,Bern,F,Vascular Diseases,236
1021,SRO AG,Langenthal,Bern,G,Gynecology and obstetrics,14841
1022,SRO AG,Langenthal,Bern,H,Diseases of the urinary tract and male genitalia,1387
1023,SRO AG,Langenthal,Bern,I,"Diseases of the bones, joints, connective tissues",5705
1024,SRO AG,Langenthal,Bern,J,Complex conditions,6511
1025,SRO AG,Langenthal,Bern,K,Skin disorders,39
1026,Schulthess Klinik,Zürich,Zürich,A,Cardiac diseases,30
1027,Schulthess Klinik,Zürich,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3
1028,Schulthess Klinik,Zürich,Zürich,C,Geriatric Medicine,299
1029,Schulthess Klinik,Zürich,Zürich,E,Diseases of the abdominal organs,114
1030,Schulthess Klinik,Zürich,Zürich,F,Vascular Diseases,13
1031,Schulthess Klinik,Zürich,Zürich,G,Gynecology and obstetrics,1
1032,Schulthess Klinik,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",28179
1033,Schulthess Klinik,Zürich,Zürich,J,Complex conditions,134
1034,Schulthess Klinik,Zürich,Zürich,K,Skin disorders,24
1035,See­Spital,Horgen,Zürich,A,Cardiac diseases,4449
1036,See­Spital,Horgen,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1860
1037,See­Spital,Horgen,Zürich,C,Geriatric Medicine,4590
1038,See­Spital,Horgen,Zürich,D,Lung diseases,5781
1039,See­Spital,Horgen,Zürich,E,Diseases of the abdominal organs,7752
1040,See­Spital,Horgen,Zürich,F,Vascular Diseases,778
1041,See­Spital,Horgen,Zürich,G,Gynecology and obstetrics,18688
1042,See­Spital,Horgen,Zürich,H,Diseases of the urinary tract and male genitalia,5636
1043,See­Spital,Horgen,Zürich,I,"Diseases of the bones, joints, connective tissues",8492
1044,See­Spital,Horgen,Zürich,J,Complex conditions,2867
1045,See­Spital,Horgen,Zürich,K,Skin disorders,38
1046,Siloah AG,Gümligen,Bern,A,Cardiac diseases,1065
1047,Siloah AG,Gümligen,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1280
1048,Siloah AG,Gümligen,Bern,C,Geriatric Medicine,9215
1049,Siloah AG,Gümligen,Bern,D,Lung diseases,1031
1050,Siloah AG,Gümligen,Bern,E,Diseases of the abdominal organs,1461
1051,Siloah AG,Gümligen,Bern,F,Vascular Diseases,31
1052,Siloah AG,Gümligen,Bern,G,Gynecology and obstetrics,374
1053,Siloah AG,Gümligen,Bern,H,Diseases of the urinary tract and male genitalia,1069
1054,Siloah AG,Gümligen,Bern,I,"Diseases of the bones, joints, connective tissues",3193
1055,Siloah AG,Gümligen,Bern,J,Complex conditions,345
1056,Siloah AG,Gümligen,Bern,K,Skin disorders,6
1057,Siloah AG,Gümligen,Bern,M,Palliative Medicine,193
1058,Solothurner Spitäler AG,Solothurn,Solothurn,A,Cardiac diseases,40180
1059,Solothurner Spitäler AG,Solothurn,Solothurn,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",13154
1060,Solothurner Spitäler AG,Solothurn,Solothurn,C,Geriatric Medicine,12853
1061,Solothurner Spitäler AG,Solothurn,Solothurn,D,Lung diseases,17977
1062,Solothurner Spitäler AG,Solothurn,Solothurn,E,Diseases of the abdominal organs,18307
1063,Solothurner Spitäler AG,Solothurn,Solothurn,F,Vascular Diseases,3123
1064,Solothurner Spitäler AG,Solothurn,Solothurn,G,Gynecology and obstetrics,37687
1065,Solothurner Spitäler AG,Solothurn,Solothurn,H,Diseases of the urinary tract and male genitalia,9928
1066,Solothurner Spitäler AG,Solothurn,Solothurn,I,"Diseases of the bones, joints, connective tissues",19068
1067,Solothurner Spitäler AG,Solothurn,Solothurn,J,Complex conditions,20792
1068,Solothurner Spitäler AG,Solothurn,Solothurn,K,Skin disorders,271
1069,Solothurner Spitäler AG,Solothurn,Solothurn,L,Highly specialized medicine,4
1070,Solothurner Spitäler AG,Solothurn,Solothurn,M,Palliative Medicine,1201
1071,Spital Affoltern,Affoltern am Albis,Zürich,A,Cardiac diseases,2024
1072,Spital Affoltern,Affoltern am Albis,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",844
1073,Spital Affoltern,Affoltern am Albis,Zürich,C,Geriatric Medicine,7095
1074,Spital Affoltern,Affoltern am Albis,Zürich,D,Lung diseases,2516
1075,Spital Affoltern,Affoltern am Albis,Zürich,E,Diseases of the abdominal organs,2227
1076,Spital Affoltern,Affoltern am Albis,Zürich,F,Vascular Diseases,47
1077,Spital Affoltern,Affoltern am Albis,Zürich,G,Gynecology and obstetrics,6723
1078,Spital Affoltern,Affoltern am Albis,Zürich,H,Diseases of the urinary tract and male genitalia,694
1079,Spital Affoltern,Affoltern am Albis,Zürich,I,"Diseases of the bones, joints, connective tissues",1963
1080,Spital Affoltern,Affoltern am Albis,Zürich,J,Complex conditions,638
1081,Spital Affoltern,Affoltern am Albis,Zürich,K,Skin disorders,41
1082,Spital Affoltern,Affoltern am Albis,Zürich,M,Palliative Medicine,1652
1083,Spital Bülach AG,Bülach,Zürich,A,Cardiac diseases,7864
1084,Spital Bülach AG,Bülach,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",2836
1085,Spital Bülach AG,Bülach,Zürich,C,Geriatric Medicine,3126
1086,Spital Bülach AG,Bülach,Zürich,D,Lung diseases,5489
1087,Spital Bülach AG,Bülach,Zürich,E,Diseases of the abdominal organs,7578
1088,Spital Bülach AG,Bülach,Zürich,F,Vascular Diseases,480
1089,Spital Bülach AG,Bülach,Zürich,G,Gynecology and obstetrics,29665
1090,Spital Bülach AG,Bülach,Zürich,H,Diseases of the urinary tract and male genitalia,740
1091,Spital Bülach AG,Bülach,Zürich,I,"Diseases of the bones, joints, connective tissues",4249
1092,Spital Bülach AG,Bülach,Zürich,J,Complex conditions,4253
1093,Spital Bülach AG,Bülach,Zürich,K,Skin disorders,34
1094,Spital Bülach AG,Bülach,Zürich,M,Palliative Medicine,478
1095,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,A,Cardiac diseases,1276
1096,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",588
1097,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,C,Geriatric Medicine,40
1098,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,D,Lung diseases,1334
1099,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,E,Diseases of the abdominal organs,575
1100,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,F,Vascular Diseases,10
1101,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,G,Gynecology and obstetrics,2588
1102,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,H,Diseases of the urinary tract and male genitalia,167
1103,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,I,"Diseases of the bones, joints, connective tissues",1415
1104,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,J,Complex conditions,199
1105,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,K,Skin disorders,12
1106,Spital Davos AG Akutabteilung,Davos Platz,Graubünden,M,Palliative Medicine,2
1107,Spital Einsiedeln,Einsiedeln,Schwyz,A,Cardiac diseases,1851
1108,Spital Einsiedeln,Einsiedeln,Schwyz,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",862
1109,Spital Einsiedeln,Einsiedeln,Schwyz,C,Geriatric Medicine,359
1110,Spital Einsiedeln,Einsiedeln,Schwyz,D,Lung diseases,1911
1111,Spital Einsiedeln,Einsiedeln,Schwyz,E,Diseases of the abdominal organs,2208
1112,Spital Einsiedeln,Einsiedeln,Schwyz,F,Vascular Diseases,28
1113,Spital Einsiedeln,Einsiedeln,Schwyz,G,Gynecology and obstetrics,5738
1114,Spital Einsiedeln,Einsiedeln,Schwyz,H,Diseases of the urinary tract and male genitalia,336
1115,Spital Einsiedeln,Einsiedeln,Schwyz,I,"Diseases of the bones, joints, connective tissues",3289
1116,Spital Einsiedeln,Einsiedeln,Schwyz,J,Complex conditions,725
1117,Spital Einsiedeln,Einsiedeln,Schwyz,K,Skin disorders,13
1118,Spital Einsiedeln,Einsiedeln,Schwyz,M,Palliative Medicine,9
1119,Spital Lachen,Lachen ,Schwyz,A,Cardiac diseases,4762
1120,Spital Lachen,Lachen ,Schwyz,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1736
1121,Spital Lachen,Lachen ,Schwyz,C,Geriatric Medicine,648
1122,Spital Lachen,Lachen ,Schwyz,D,Lung diseases,2551
1123,Spital Lachen,Lachen ,Schwyz,E,Diseases of the abdominal organs,5774
1124,Spital Lachen,Lachen ,Schwyz,F,Vascular Diseases,1334
1125,Spital Lachen,Lachen ,Schwyz,G,Gynecology and obstetrics,9881
1126,Spital Lachen,Lachen ,Schwyz,H,Diseases of the urinary tract and male genitalia,3169
1127,Spital Lachen,Lachen ,Schwyz,I,"Diseases of the bones, joints, connective tissues",1899
1128,Spital Lachen,Lachen ,Schwyz,J,Complex conditions,2565
1129,Spital Lachen,Lachen ,Schwyz,K,Skin disorders,41
1130,Spital Limmattal,Schlieren,Zürich,A,Cardiac diseases,5910
1131,Spital Limmattal,Schlieren,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3801
1132,Spital Limmattal,Schlieren,Zürich,C,Geriatric Medicine,2086
1133,Spital Limmattal,Schlieren,Zürich,D,Lung diseases,6539
1134,Spital Limmattal,Schlieren,Zürich,E,Diseases of the abdominal organs,12673
1135,Spital Limmattal,Schlieren,Zürich,F,Vascular Diseases,1310
1136,Spital Limmattal,Schlieren,Zürich,G,Gynecology and obstetrics,23197
1137,Spital Limmattal,Schlieren,Zürich,H,Diseases of the urinary tract and male genitalia,5993
1138,Spital Limmattal,Schlieren,Zürich,I,"Diseases of the bones, joints, connective tissues",3368
1139,Spital Limmattal,Schlieren,Zürich,J,Complex conditions,3306
1140,Spital Limmattal,Schlieren,Zürich,K,Skin disorders,50
1141,Spital Limmattal,Schlieren,Zürich,L,Highly specialized medicine,3
1142,Spital Linth,Uznach,St. Gallen,A,Cardiac diseases,3795
1143,Spital Linth,Uznach,St. Gallen,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1651
1144,Spital Linth,Uznach,St. Gallen,C,Geriatric Medicine,6393
1145,Spital Linth,Uznach,St. Gallen,D,Lung diseases,3532
1146,Spital Linth,Uznach,St. Gallen,E,Diseases of the abdominal organs,3388
1147,Spital Linth,Uznach,St. Gallen,F,Vascular Diseases,65
1148,Spital Linth,Uznach,St. Gallen,G,Gynecology and obstetrics,9280
1149,Spital Linth,Uznach,St. Gallen,H,Diseases of the urinary tract and male genitalia,1963
1150,Spital Linth,Uznach,St. Gallen,I,"Diseases of the bones, joints, connective tissues",2167
1151,Spital Linth,Uznach,St. Gallen,J,Complex conditions,743
1152,Spital Linth,Uznach,St. Gallen,K,Skin disorders,51
1153,Spital Männedorf AG,Männedorf,Zürich,A,Cardiac diseases,4432
1154,Spital Männedorf AG,Männedorf,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",2208
1155,Spital Männedorf AG,Männedorf,Zürich,C,Geriatric Medicine,3152
1156,Spital Männedorf AG,Männedorf,Zürich,D,Lung diseases,4613
1157,Spital Männedorf AG,Männedorf,Zürich,E,Diseases of the abdominal organs,7976
1158,Spital Männedorf AG,Männedorf,Zürich,F,Vascular Diseases,352
1159,Spital Männedorf AG,Männedorf,Zürich,G,Gynecology and obstetrics,13693
1160,Spital Männedorf AG,Männedorf,Zürich,H,Diseases of the urinary tract and male genitalia,4501
1161,Spital Männedorf AG,Männedorf,Zürich,I,"Diseases of the bones, joints, connective tissues",3620
1162,Spital Männedorf AG,Männedorf,Zürich,J,Complex conditions,3334
1163,Spital Männedorf AG,Männedorf,Zürich,K,Skin disorders,45
1164,Spital Männedorf AG,Männedorf,Zürich,M,Palliative Medicine,570
1165,Spital Oberengadin,Samedan,Graubünden,A,Cardiac diseases,1498
1166,Spital Oberengadin,Samedan,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1055
1167,Spital Oberengadin,Samedan,Graubünden,C,Geriatric Medicine,99
1168,Spital Oberengadin,Samedan,Graubünden,D,Lung diseases,1663
1169,Spital Oberengadin,Samedan,Graubünden,E,Diseases of the abdominal organs,1516
1170,Spital Oberengadin,Samedan,Graubünden,F,Vascular Diseases,33
1171,Spital Oberengadin,Samedan,Graubünden,G,Gynecology and obstetrics,3514
1172,Spital Oberengadin,Samedan,Graubünden,H,Diseases of the urinary tract and male genitalia,517
1173,Spital Oberengadin,Samedan,Graubünden,I,"Diseases of the bones, joints, connective tissues",878
1174,Spital Oberengadin,Samedan,Graubünden,J,Complex conditions,688
1175,Spital Oberengadin,Samedan,Graubünden,K,Skin disorders,30
1176,Spital STS AG,Thun,Bern,A,Cardiac diseases,10716
1177,Spital STS AG,Thun,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",5359
1178,Spital STS AG,Thun,Bern,C,Geriatric Medicine,1387
1179,Spital STS AG,Thun,Bern,D,Lung diseases,10506
1180,Spital STS AG,Thun,Bern,E,Diseases of the abdominal organs,10839
1181,Spital STS AG,Thun,Bern,F,Vascular Diseases,1798
1182,Spital STS AG,Thun,Bern,G,Gynecology and obstetrics,28548
1183,Spital STS AG,Thun,Bern,H,Diseases of the urinary tract and male genitalia,4871
1184,Spital STS AG,Thun,Bern,I,"Diseases of the bones, joints, connective tissues",15719
1185,Spital STS AG,Thun,Bern,J,Complex conditions,8243
1186,Spital STS AG,Thun,Bern,K,Skin disorders,117
1187,Spital STS AG,Thun,Bern,M,Palliative Medicine,1624
1188,Spital Schwyz,Schwyz,Schwyz,A,Cardiac diseases,3466
1189,Spital Schwyz,Schwyz,Schwyz,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1986
1190,Spital Schwyz,Schwyz,Schwyz,C,Geriatric Medicine,467
1191,Spital Schwyz,Schwyz,Schwyz,D,Lung diseases,3666
1192,Spital Schwyz,Schwyz,Schwyz,E,Diseases of the abdominal organs,3794
1193,Spital Schwyz,Schwyz,Schwyz,F,Vascular Diseases,603
1194,Spital Schwyz,Schwyz,Schwyz,G,Gynecology and obstetrics,9813
1195,Spital Schwyz,Schwyz,Schwyz,H,Diseases of the urinary tract and male genitalia,2356
1196,Spital Schwyz,Schwyz,Schwyz,I,"Diseases of the bones, joints, connective tissues",4410
1197,Spital Schwyz,Schwyz,Schwyz,J,Complex conditions,2185
1198,Spital Schwyz,Schwyz,Schwyz,K,Skin disorders,63
1199,Spital Schwyz,Schwyz,Schwyz,M,Palliative Medicine,799
1200,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,A,Cardiac diseases,20236
1201,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",12127
1202,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,C,Geriatric Medicine,3314
1203,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,D,Lung diseases,14984
1204,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,E,Diseases of the abdominal organs,16402
1205,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,F,Vascular Diseases,5570
1206,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,G,Gynecology and obstetrics,56286
1207,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,H,Diseases of the urinary tract and male genitalia,11110
1208,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,I,"Diseases of the bones, joints, connective tissues",10923
1209,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,J,Complex conditions,8968
1210,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,K,Skin disorders,260
1211,Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen,Frauenfeld,Thurgau,M,Palliative Medicine,914
1212,Spital Thusis,Thusis,Graubünden,A,Cardiac diseases,959
1213,Spital Thusis,Thusis,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",440
1214,Spital Thusis,Thusis,Graubünden,C,Geriatric Medicine,25
1215,Spital Thusis,Thusis,Graubünden,D,Lung diseases,1081
1216,Spital Thusis,Thusis,Graubünden,E,Diseases of the abdominal organs,1064
1217,Spital Thusis,Thusis,Graubünden,F,Vascular Diseases,42
1218,Spital Thusis,Thusis,Graubünden,G,Gynecology and obstetrics,2701
1219,Spital Thusis,Thusis,Graubünden,H,Diseases of the urinary tract and male genitalia,239
1220,Spital Thusis,Thusis,Graubünden,I,"Diseases of the bones, joints, connective tissues",965
1221,Spital Thusis,Thusis,Graubünden,J,Complex conditions,321
1222,Spital Thusis,Thusis,Graubünden,K,Skin disorders,14
1223,Spital Uster,Uster,Zürich,A,Cardiac diseases,7835
1224,Spital Uster,Uster,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3469
1225,Spital Uster,Uster,Zürich,C,Geriatric Medicine,2159
1226,Spital Uster,Uster,Zürich,D,Lung diseases,5729
1227,Spital Uster,Uster,Zürich,E,Diseases of the abdominal organs,7057
1228,Spital Uster,Uster,Zürich,F,Vascular Diseases,146
1229,Spital Uster,Uster,Zürich,G,Gynecology and obstetrics,18478
1230,Spital Uster,Uster,Zürich,H,Diseases of the urinary tract and male genitalia,6969
1231,Spital Uster,Uster,Zürich,I,"Diseases of the bones, joints, connective tissues",3314
1232,Spital Uster,Uster,Zürich,J,Complex conditions,6462
1233,Spital Uster,Uster,Zürich,K,Skin disorders,49
1234,Spital Uster,Uster,Zürich,M,Palliative Medicine,1
1235,Spital Wallis,Brig,Valais,A,Cardiac diseases,5863
1236,Spital Wallis,Brig,Valais,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3657
1237,Spital Wallis,Brig,Valais,C,Geriatric Medicine,507
1238,Spital Wallis,Brig,Valais,D,Lung diseases,7745
